,Control,Def,ILD-H,ILD-N,IPF,Poss,Pro,Un,Mix
7.9_321.2416,552.971390176551,34178.46166362925,0.0,1.2795000137931019,1330.6357708137866,30355.397014068905,25744.477093365476,19806.713222904044,16951.499241655107
8.37_321.2431,32.055842019310326,994.6799214590505,11.091341682758621,10.99675568275862,34.843117524137924,1076.0028741517226,675.2453451275854,496.03071949843195,383.0902860214029
8.48_321.242,212.39912435862038,3045.9672178749947,66.31267493793074,83.9002699586204,45.46279544827571,3658.647233396548,2282.4674494068954,2556.8026744626927,1506.9212671486312
8.62_321.2423,508.1439627586192,861.8227876077563,679.1571034482737,770.6616893103431,497.1446634482744,942.6404599137907,698.3022084482743,614.1899220689639,598.4895819143858
7.93_594.3409,1274.595052,24408.325187500006,0.0,0.0,539.7706000000001,26312.00595,15767.758599999996,23371.391854545454,15805.598620689652
8.02_594.3383,3368.365354,23607.84046875,1476.44506,927.3073222,2378.262501,24681.745199999994,16639.523800000003,14333.681381818182,15100.999655172418
7.6_303.2312,23.48471324137925,3267.717824461206,37.598356551723995,7.38924455172414,25.883038275862,4576.855834482756,3258.6174853448247,2903.8397355485877,2109.58127764566
7.7_319.2265,1092.194737917241,60133.13565367456,0.0,5.79988475862068,5065.0316807586205,64264.48707879308,51149.62865379308,41944.78464372413,34744.61318310345
7.96_319.2266,7671.254049931031,338509.15584267204,127.7670710344826,102.8197820689652,16951.474821034444,396517.169655172,261903.08015517207,235024.82587962347,205698.51265517197
8.24_319.2251,37.103244,5393.143100000001,0.0,0.0,67.51509,4335.353886500001,3795.147997,3147.5934618181823,2394.2170379310346
8.37_319.2267,195.8806224,459.41994375,136.565788,205.239502,254.77265800000004,579.8420050000002,435.7872899999999,418.44676672727286,391.9349931034484
7.59_436.2816,66.92331999999999,1751.0798725000002,0.0,0.0,10.71163,2078.457775,946.7199199999999,1074.3372285454545,436.45248620689665
7.99_436.2821,41384.027993103366,219969.169418103,21052.8317931034,26625.4617931034,26846.401793103396,247358.29029310303,202014.59829310304,161047.59670219393,158691.92551724092
7.33_524.3373,530.2582496551702,3675.7888474137826,499.5809303448256,260.2382503448274,284.35619862068864,3159.1512413792984,2431.121496379303,2204.5199210658257,2198.5188586206814
8.02_524.3351,54670.58475344818,280470.02183344803,65222.80383344821,55532.88383344819,73803.05683344815,304719.893833448,211914.66733344801,198919.4729243571,194571.23148862037
8.22_508.3751,24079.255605627535,332267.329443362,19318.017255862014,22559.380855862026,26478.29895586202,416017.00875586196,232332.10875586202,199689.42098313468,188922.46949724125
